text_id,song_id,corpus,category,presence,density
p00039,c03a69e7-7bcb-4c85-b,prompt,instrumentation,0,0.0
p00039,c03a69e7-7bcb-4c85-b,prompt,timbre,0,0.0
p00039,c03a69e7-7bcb-4c85-b,prompt,function,0,0.0
p00039,c03a69e7-7bcb-4c85-b,prompt,theory,1,0.2
p00039,c03a69e7-7bcb-4c85-b,prompt,story,1,0.4
p00040,1e28722f-2c5c-474e-a,prompt,genre,1,0.1818181818181818
p00040,1e28722f-2c5c-474e-a,prompt,mood,1,0.2727272727272727
p00040,1e28722f-2c5c-474e-a,prompt,instrumentation,1,0.2727272727272727
p00040,1e28722f-2c5c-474e-a,prompt,timbre,1,0.0909090909090909
p00040,1e28722f-2c5c-474e-a,prompt,function,0,0.0
p00040,1e28722f-2c5c-474e-a,prompt,theory,1,0.1818181818181818
p00040,1e28722f-2c5c-474e-a,prompt,story,0,0.0
p00041,8760d63e-0eab-4d6e-9,prompt,genre,1,0.3333333333333333
p00041,8760d63e-0eab-4d6e-9,prompt,mood,0,0.0
p00041,8760d63e-0eab-4d6e-9,prompt,instrumentation,0,0.0
p00041,8760d63e-0eab-4d6e-9,prompt,timbre,0,0.0
p00041,8760d63e-0eab-4d6e-9,prompt,function,1,0.3333333333333333
p00041,8760d63e-0eab-4d6e-9,prompt,theory,0,0.0
p00041,8760d63e-0eab-4d6e-9,prompt,story,1,0.3333333333333333
p00042,876c1749-d348-48e6-a,prompt,genre,1,0.6363636363636364
p00042,876c1749-d348-48e6-a,prompt,mood,1,0.1818181818181818
p00042,876c1749-d348-48e6-a,prompt,instrumentation,1,0.0909090909090909
p00042,876c1749-d348-48e6-a,prompt,timbre,0,0.0
p00042,876c1749-d348-48e6-a,prompt,function,0,0.0
p00042,876c1749-d348-48e6-a,prompt,theory,1,0.0909090909090909
p00042,876c1749-d348-48e6-a,prompt,story,0,0.0
p00043,788859af-9004-4587-b,prompt,genre,1,0.6666666666666666
p00043,788859af-9004-4587-b,prompt,mood,0,0.0
p00043,788859af-9004-4587-b,prompt,instrumentation,1,0.1666666666666666
p00043,788859af-9004-4587-b,prompt,timbre,0,0.0
p00043,788859af-9004-4587-b,prompt,function,0,0.0
p00043,788859af-9004-4587-b,prompt,theory,1,0.1666666666666666
p00043,788859af-9004-4587-b,prompt,story,0,0.0
p00044,42ef4a9a-164f-480e-9,prompt,genre,1,0.6666666666666666
p00044,42ef4a9a-164f-480e-9,prompt,mood,0,0.0
p00044,42ef4a9a-164f-480e-9,prompt,instrumentation,1,0.1666666666666666
p00044,42ef4a9a-164f-480e-9,prompt,timbre,0,0.0
p00044,42ef4a9a-164f-480e-9,prompt,function,0,0.0
p00044,42ef4a9a-164f-480e-9,prompt,theory,0,0.0
p00044,42ef4a9a-164f-480e-9,prompt,story,1,0.1666666666666666
p00045,6eec1cc9-81f9-40d3-9,prompt,genre,1,0.3333333333333333
p00045,6eec1cc9-81f9-40d3-9,prompt,mood,0,0.0
p00045,6eec1cc9-81f9-40d3-9,prompt,instrumentation,1,0.3333333333333333
p00045,6eec1cc9-81f9-40d3-9,prompt,timbre,0,0.0
p00045,6eec1cc9-81f9-40d3-9,prompt,function,0,0.0
p00045,6eec1cc9-81f9-40d3-9,prompt,theory,0,0.0
p00045,6eec1cc9-81f9-40d3-9,prompt,story,1,0.3333333333333333
p00046,6045b0b6-6270-465c-9,prompt,genre,1,0.1428571428571428
p00046,6045b0b6-6270-465c-9,prompt,mood,0,0.0
p00046,6045b0b6-6270-465c-9,prompt,instrumentation,1,0.1428571428571428
p00046,6045b0b6-6270-465c-9,prompt,timbre,0,0.0
p00046,6045b0b6-6270-465c-9,prompt,function,1,0.1428571428571428
p00046,6045b0b6-6270-465c-9,prompt,theory,0,0.0
p00046,6045b0b6-6270-465c-9,prompt,story,1,0.5714285714285714
p00047,6067225b-504a-46e1-8,prompt,genre,1,0.3333333333333333
p00047,6067225b-504a-46e1-8,prompt,mood,1,0.3333333333333333
p00047,6067225b-504a-46e1-8,prompt,instrumentation,0,0.0
p00047,6067225b-504a-46e1-8,prompt,timbre,0,0.0
p00047,6067225b-504a-46e1-8,prompt,function,0,0.0
p00047,6067225b-504a-46e1-8,prompt,theory,0,0.0
p00047,6067225b-504a-46e1-8,prompt,story,1,0.3333333333333333
p00048,33858c28-6c40-43d6-9,prompt,genre,1,0.6666666666666666
p00048,33858c28-6c40-43d6-9,prompt,mood,0,0.0
p00048,33858c28-6c40-43d6-9,prompt,instrumentation,0,0.0
p00048,33858c28-6c40-43d6-9,prompt,timbre,0,0.0
p00048,33858c28-6c40-43d6-9,prompt,function,0,0.0
p00048,33858c28-6c40-43d6-9,prompt,theory,0,0.0
p00048,33858c28-6c40-43d6-9,prompt,story,1,0.3333333333333333
p00049,3c401ec0-d117-449d-a,prompt,genre,1,0.6
p00049,3c401ec0-d117-449d-a,prompt,mood,0,0.0
p00049,3c401ec0-d117-449d-a,prompt,instrumentation,0,0.0
p00049,3c401ec0-d117-449d-a,prompt,timbre,0,0.0
p00049,3c401ec0-d117-449d-a,prompt,function,0,0.0
p00049,3c401ec0-d117-449d-a,prompt,theory,0,0.0
p00049,3c401ec0-d117-449d-a,prompt,story,1,0.4
p00050,3c41851f-03a5-464c-9,prompt,genre,1,0.8333333333333334
p00050,3c41851f-03a5-464c-9,prompt,mood,0,0.0
p00050,3c41851f-03a5-464c-9,prompt,instrumentation,0,0.0
p00050,3c41851f-03a5-464c-9,prompt,timbre,0,0.0
p00050,3c41851f-03a5-464c-9,prompt,function,0,0.0
p00050,3c41851f-03a5-464c-9,prompt,theory,0,0.0
p00050,3c41851f-03a5-464c-9,prompt,story,1,0.1666666666666666
p00051,a817156f-977c-4a72-8,prompt,genre,1,0.1428571428571428
p00051,a817156f-977c-4a72-8,prompt,mood,1,0.1428571428571428
p00051,a817156f-977c-4a72-8,prompt,instrumentation,0,0.0
p00051,a817156f-977c-4a72-8,prompt,timbre,1,0.1428571428571428
p00051,a817156f-977c-4a72-8,prompt,function,0,0.0
p00051,a817156f-977c-4a72-8,prompt,theory,1,0.2857142857142857
p00051,a817156f-977c-4a72-8,prompt,story,1,0.2857142857142857
p00052,1c339881-c51b-4318-a,prompt,genre,1,0.1538461538461538
p00052,1c339881-c51b-4318-a,prompt,mood,1,0.1538461538461538
p00052,1c339881-c51b-4318-a,prompt,instrumentation,1,0.3846153846153846
p00052,1c339881-c51b-4318-a,prompt,timbre,1,0.0769230769230769
p00052,1c339881-c51b-4318-a,prompt,function,1,0.0769230769230769
p00052,1c339881-c51b-4318-a,prompt,theory,1,0.1538461538461538
p00052,1c339881-c51b-4318-a,prompt,story,0,0.0
p00053,168acd2c-563d-4357-b,prompt,genre,1,0.5
p00053,168acd2c-563d-4357-b,prompt,mood,0,0.0
p00053,168acd2c-563d-4357-b,prompt,instrumentation,0,0.0
p00053,168acd2c-563d-4357-b,prompt,timbre,0,0.0
p00053,168acd2c-563d-4357-b,prompt,function,0,0.0
p00053,168acd2c-563d-4357-b,prompt,theory,1,0.5
p00053,168acd2c-563d-4357-b,prompt,story,0,0.0
p00054,16aa7d0d-3f35-4612-a,prompt,genre,1,0.5
p00054,16aa7d0d-3f35-4612-a,prompt,mood,0,0.0
p00054,16aa7d0d-3f35-4612-a,prompt,instrumentation,0,0.0
p00054,16aa7d0d-3f35-4612-a,prompt,timbre,0,0.0
p00054,16aa7d0d-3f35-4612-a,prompt,function,1,0.1666666666666666
p00054,16aa7d0d-3f35-4612-a,prompt,theory,0,0.0
p00054,16aa7d0d-3f35-4612-a,prompt,story,1,0.3333333333333333
p00055,42f15631-a541-4b30-8,prompt,genre,1,0.4545454545454545
p00055,42f15631-a541-4b30-8,prompt,mood,1,0.0909090909090909
p00055,42f15631-a541-4b30-8,prompt,instrumentation,1,0.4545454545454545
p00055,42f15631-a541-4b30-8,prompt,timbre,0,0.0
p00055,42f15631-a541-4b30-8,prompt,function,0,0.0
p00055,42f15631-a541-4b30-8,prompt,theory,0,0.0
p00055,42f15631-a541-4b30-8,prompt,story,0,0.0
p00056,7606dd90-1f55-4f82-8,prompt,genre,1,0.6666666666666666
p00056,7606dd90-1f55-4f82-8,prompt,mood,0,0.0
p00056,7606dd90-1f55-4f82-8,prompt,instrumentation,0,0.0
p00056,7606dd90-1f55-4f82-8,prompt,timbre,0,0.0
p00056,7606dd90-1f55-4f82-8,prompt,function,0,0.0
p00056,7606dd90-1f55-4f82-8,prompt,theory,1,0.3333333333333333
p00056,7606dd90-1f55-4f82-8,prompt,story,0,0.0
p00057,1fc27a56-36f6-4a2b-9,prompt,genre,1,0.5
p00057,1fc27a56-36f6-4a2b-9,prompt,mood,0,0.0
p00057,1fc27a56-36f6-4a2b-9,prompt,instrumentation,0,0.0
p00057,1fc27a56-36f6-4a2b-9,prompt,timbre,0,0.0
